"PX0001M" "PX0003M" "PX0006M" "PX0012M" "BALB03M" "ESP001M" "ESP003M" "ESP006M" "ESP012M" "NY0001M" "NY0003M" "NY0006M" "NY0012M" "TAB3M" "CORN3M" "CORN6M" "PORB3M" "FS0003M" "FS0006M" "SOLK1M" "SOLK3M" "SOLK6M" "YY0003M" "YY0006M" "PIB3M" "DIDA01M" "DIDA03M" "DIDA06M" "PORK01" "PORK03" "BURP03M" "BURP06M" "DETL01" "PONYA" "PONYO/N" "KEEPCALM" "TOLSTOY" "CORAL" "HFXX1T" "SAXX1T"
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-25" "" "" "2020-5-1" "" "" "2023-5-17" "2023-5-17" "2023-5-17" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-11-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-26" "" "" "2020-5-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-11-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-31" "" "" "2020-5-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-12-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-1-1" "" "" "2020-9-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2019-12-31" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-1-6" "" "" "2020-9-22" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-1-1" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-1" "" "" "2020-12-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-1-2" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-24" "" "" "2020-12-25" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-1-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-25" "" "" "2020-12-26" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-2-11" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-26" "" "" "2021-1-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-4-29" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-31" "" "" "2021-3-3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-5-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2023-1-1" "" "" "2021-5-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-5-4" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2023-1-6" "" "" "2021-5-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-5-5" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-1" "" "" "2021-5-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-11-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-9-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-11-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-9-22" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-12-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2020-12-31" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-25" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-1-1" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-26" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-1-2" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-1-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-1-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-3-3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-2-11" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-4-29" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-5-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-5-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-5-4" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-9-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-5-5" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-9-22" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-11-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-24" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-11-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-25" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-23" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-12-26" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2021-12-31" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-1-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-1-1" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-3-3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-1-2" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-1-3" "" "" "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2023-5-6" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "2022-2-11" "" "" "" ""
